company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback,rtp_available,batch_id
1000,0000002002,5200005305,2025,001,2025-07-08,2025-08-07,0001,CAD,1818.74,PO45160816,Ocean Freight,CA,urgent,no,ach,yes,no,BATCH-C200
2000,0000002002,5200005306,2025,003,2025-06-24,2025-07-24,0001,CAD,3986.2,PO45229815,Last-Mile Delivery,CA,urgent,yes,card,yes,no,BATCH-C200
1000,0000003001,5200005307,2025,002,2025-06-23,2025-08-07,0002,MXN,2641.22,PO45698646,Warehouse Storage,MX,urgent,no,wire,yes,no,BATCH-C200
3000,0000004001,5200005308,2025,002,2025-05-13,2025-07-12,Z060,EUR,3446.92,PO45691783,Linehaul,DE,urgent,yes,wire,yes,no,BATCH-C200
3000,0000003002,5200005309,2025,002,2025-06-29,2025-08-28,Z060,MXN,4440.17,PO45479146,Warehouse Storage,MX,urgent,no,ach,yes,no,BATCH-C200
1000,0000006001,5200005310,2025,002,2025-08-02,2025-09-16,N045,CNY,1453.31,PO45176756,Drayage & Fuel,CN,urgent,no,wire,no,no,BATCH-C200
2000,0000001003,5200005311,2025,002,2025-05-06,2025-06-05,0001,USD,3693.48,PO45700861,Container Handling,US,urgent,yes,ach_same_day,no,yes,BATCH-C200
3000,0000006001,5200005312,2025,001,2025-06-04,2025-07-19,N045,CNY,3376.1,PO45168157,Linehaul,CN,urgent,yes,card,no,no,BATCH-C200
2000,0000005001,5200005313,2025,003,2025-06-14,2025-07-14,0001,GBP,4521.05,PO45472731,Customs Brokerage,GB,urgent,yes,wire,yes,no,BATCH-C200
1000,0000001004,5200005314,2025,001,2025-08-03,2025-09-17,0002,USD,1970.12,PO45620625,Drayage & Fuel,US,urgent,yes,ach,no,yes,BATCH-C200
3000,0000001005,5200005315,2025,002,2025-07-10,2025-08-09,N030,USD,3420.06,PO45476198,Palletization,US,urgent,no,ach,yes,yes,BATCH-C200
1000,0000003002,5200005316,2025,001,2025-07-02,2025-08-31,Z060,MXN,957.01,PO45395625,Linehaul,MX,urgent,no,ach,no,no,BATCH-C200
3000,0000003001,5200005317,2025,003,2025-07-05,2025-09-03,Z060,MXN,3178.34,PO45875720,Linehaul,MX,urgent,yes,rtp,no,no,BATCH-C200
2000,0000005001,5200005318,2025,001,2025-05-25,2025-06-24,0001,GBP,4727.94,PO45562030,Customs Brokerage,GB,urgent,no,auto,no,no,BATCH-C200
1000,0000001001,5200005319,2025,003,2025-05-13,2025-06-12,N030,USD,2984.57,PO45173731,Last-Mile Delivery,US,urgent,no,wire,no,yes,BATCH-C200
3000,0000001005,5200005320,2025,003,2025-06-16,2025-07-31,N045,USD,677.36,PO45990174,Expedited Air Freight,US,urgent,yes,rtp,no,yes,BATCH-C200
2000,0000004002,5200005321,2025,003,2025-06-03,2025-07-18,N045,EUR,3995.62,PO45269280,Ocean Freight,DE,urgent,no,auto,yes,no,BATCH-C200
1000,0000005001,5200005322,2025,001,2025-08-06,2025-10-05,Z060,GBP,1501.02,PO45774147,Drayage & Fuel,GB,urgent,no,card,no,no,BATCH-C200
1000,0000002001,5200005323,2025,003,2025-07-09,2025-09-07,Z060,CAD,1649.43,PO45333876,Port Fees,CA,urgent,yes,ach,yes,no,BATCH-C200
3000,0000006002,5200005324,2025,002,2025-06-15,2025-07-15,0001,CNY,4751.14,PO45928494,Warehouse Storage,CN,urgent,no,rtp,no,no,BATCH-C200
3000,0000004001,5200005325,2025,002,2025-08-01,2025-08-31,N030,EUR,4588.5,PO45482348,Drayage & Fuel,DE,urgent,no,ach,yes,no,BATCH-C200
2000,0000006001,5200005326,2025,003,2025-07-18,2025-08-17,0001,CNY,2353.53,PO45784697,Container Handling,CN,urgent,no,card,yes,no,BATCH-C200
2000,0000006001,5200005327,2025,001,2025-07-01,2025-08-15,0002,CNY,2139.45,PO45766728,Container Handling,CN,urgent,yes,auto,no,no,BATCH-C200
