company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback,rtp_available,batch_id
1000,0000003002,5200008448,2025,002,2025-08-08,2025-09-22,N045,MXN,2808.67,PO45164181,Warehouse Storage,MX,urgent,yes,auto,no,no,BATCH-X60
3000,0000006002,5200008449,2025,001,2025-05-03,2025-06-17,0002,CNY,4646.9,PO45334565,Port Fees,CN,urgent,no,ach,yes,no,BATCH-X60
2000,0000002001,5200008450,2025,001,2025-05-13,2025-06-27,0002,CAD,1328.67,PO45978006,Port Fees,CA,urgent,no,card,no,no,BATCH-X60
3000,0000002002,5200008451,2025,003,2025-05-23,2025-06-22,0001,CAD,1383.16,PO45587425,Expedited Air Freight,CA,urgent,no,wire,no,no,BATCH-X60
1000,0000003001,5200008452,2025,003,2025-07-15,2025-08-29,0002,MXN,4147.12,PO45254371,Port Fees,MX,urgent,no,rtp,no,no,BATCH-X60
1000,0000005001,5200008453,2025,003,2025-07-17,2025-09-15,Z060,GBP,270.17,PO45154490,Container Handling,GB,urgent,no,ach_same_day,no,no,BATCH-X60
2000,0000007001,5200008454,2025,002,2025-06-21,2025-08-20,Z060,JPY,351.7,PO45642506,Customs Brokerage,JP,urgent,no,card,no,no,BATCH-X60
2000,0000004002,5200008455,2025,001,2025-07-07,2025-08-21,0002,EUR,425.54,PO45554075,Last-Mile Delivery,DE,urgent,no,wire,yes,no,BATCH-X60
1000,0000002002,5200008456,2025,002,2025-07-21,2025-08-20,0001,CAD,3903.56,PO45142222,Linehaul,CA,urgent,no,card,no,no,BATCH-X60
3000,0000002001,5200008457,2025,003,2025-05-13,2025-06-12,N030,CAD,671.99,PO45114331,Palletization,CA,urgent,no,ach,yes,no,BATCH-X60
1000,0000003001,5200008458,2025,001,2025-05-08,2025-07-07,Z060,MXN,4607.68,PO45638736,Warehouse Storage,MX,urgent,no,auto,no,no,BATCH-X60
2000,0000004001,5200008459,2025,002,2025-07-13,2025-08-12,N030,EUR,1388.33,PO45871679,Drayage & Fuel,DE,urgent,yes,card,no,no,BATCH-X60
3000,0000005001,5200008460,2025,001,2025-07-10,2025-08-09,N030,GBP,56923.36,PO45674650,Warehouse Storage,GB,high,yes,wire,no,no,BATCH-X60
2000,0000003002,5200008461,2025,001,2025-07-05,2025-09-03,Z060,MXN,47831.09,PO45714133,Palletization,MX,high,no,auto,no,no,BATCH-X60
1000,0000006001,5200008462,2025,002,2025-06-06,2025-07-21,0002,CNY,37574.0,PO45909635,Linehaul,CN,high,no,ach,yes,no,BATCH-X60
2000,0000005001,5200008463,2025,002,2025-06-15,2025-07-15,0001,GBP,63948.72,PO45810577,Customs Brokerage,GB,high,no,rtp,no,no,BATCH-X60
1000,0000007001,5200008464,2025,002,2025-07-06,2025-08-05,0001,JPY,89435.69,PO45879384,Expedited Air Freight,JP,high,yes,ach_same_day,yes,no,BATCH-X60
1000,0000006002,5200008465,2025,003,2025-05-16,2025-06-30,N045,CNY,49506.73,PO45699742,Customs Brokerage,CN,high,no,rtp,no,no,BATCH-X60
2000,0000006001,5200008466,2025,002,2025-08-01,2025-08-31,N030,CNY,37271.51,PO45509662,Ocean Freight,CN,high,no,wire,no,no,BATCH-X60
1000,0000006001,5200008467,2025,002,2025-06-26,2025-07-26,N030,CNY,24552.76,PO45418801,Customs Brokerage,CN,high,no,rtp,no,no,BATCH-X60
1000,0000006002,5200008468,2025,002,2025-07-17,2025-08-31,0002,CNY,115175.3,PO45314234,Palletization,CN,high,no,auto,yes,no,BATCH-X60
2000,0000004001,5200008469,2025,003,2025-08-08,2025-09-07,N030,EUR,66004.45,PO45558395,Ocean Freight,DE,high,yes,wire,no,no,BATCH-X60
2000,0000004002,5200008470,2025,002,2025-05-02,2025-06-01,0001,EUR,64454.05,PO45203773,Palletization,DE,high,no,ach_same_day,no,no,BATCH-X60
1000,0000006001,5200008471,2025,003,2025-07-15,2025-08-14,N030,CNY,83914.64,PO45882727,Drayage & Fuel,CN,high,no,ach,no,no,BATCH-X60
2000,0000006002,5200008472,2025,001,2025-05-15,2025-06-14,N030,CNY,83716.8,PO45960413,Ocean Freight,CN,high,no,rtp,yes,no,BATCH-X60
3000,0000003002,5200008473,2025,002,2025-05-24,2025-06-23,0001,MXN,76721.49,PO45732425,Drayage & Fuel,MX,high,yes,ach_same_day,yes,no,BATCH-X60
1000,0000006002,5200008474,2025,001,2025-06-08,2025-07-23,N045,CNY,101532.48,PO45714675,Linehaul,CN,high,no,card,yes,no,BATCH-X60
1000,0000007001,5200008475,2025,002,2025-07-22,2025-09-20,Z060,JPY,31102.99,PO45250698,Port Fees,JP,normal,no,ach,no,no,BATCH-X60
